artist,click,pageview,preview,total_events,click_rate
EBK Jaaybo,4,7,0,11,57.14285714285714
Boosie Badazz,4,7,0,11,57.14285714285714
"Justin Bieber, benny blanco",3,7,1,11,42.857142857142854
Jelani Aryeh,3,6,2,11,50.0
Rylo Rodriguez,2,8,0,10,25.0
Cimorelli,3,5,2,10,60.0
SRTW,1,9,0,10,11.11111111111111
Yoss Bones,3,7,0,10,42.857142857142854
"Lil Baby, Lil Durk",2,7,1,10,28.57142857142857
Ella Mai,1,9,0,10,11.11111111111111
Natanael Cano,5,5,0,10,100.0
Shoreline Mafia,3,7,0,10,42.857142857142854
Rmc Mike,5,5,0,10,100.0
Rema,4,6,0,10,66.66666666666666
ThemBrothers,3,6,1,10,50.0
Ann Marie,3,7,0,10,42.857142857142854
"Gera MX, Christian Nodal",2,8,0,10,25.0
Fuego,2,8,0,10,25.0
"Dj Wesley Gonzaga, Mc Mr Bim, Mc Saci",3,4,3,10,75.0
Chiky Dee Jay,1,7,2,10,14.285714285714285
Akon,3,7,0,10,42.857142857142854
LMFAO,4,6,0,10,66.66666666666666
Brandy,5,5,0,10,100.0
Imagine Dragons,3,7,0,10,42.857142857142854
"PnB Rock, Kodak Black & A Boogie wit da Hoodie",2,8,0,10,25.0
"DaBaby, OHGEESY",3,6,1,10,50.0
Sara Kays,2,4,4,10,50.0
DUSTY LOCANE,2,7,1,10,28.57142857142857
Yeat,4,5,0,9,80.0
Hunter Hayes,4,5,0,9,80.0
Mac Miller,3,6,0,9,50.0
GMO Stax,3,6,0,9,50.0
Jeremih,3,6,0,9,50.0
Nohone,4,5,0,9,80.0
Dafina Zeqiri,1,8,0,9,12.5
Future,2,7,0,9,28.57142857142857
Jillian Rossi,4,5,0,9,80.0
Navid Zardi,3,6,0,9,50.0
TELYKast,2,5,2,9,40.0
K CAMP,3,6,0,9,50.0
Slimelife Shawty,3,6,0,9,50.0
Logic,4,4,1,9,100.0
SIDEPIECE,3,4,2,9,75.0
$NOT,3,5,1,9,60.0
Kina,2,5,2,9,40.0
"Becky Hill, David Guetta",1,7,1,9,14.285714285714285
ScHoolboy Q,4,5,0,9,80.0
Kurdish Melodi,3,6,0,9,50.0
Peezy,3,6,0,9,50.0
Lucki,4,5,0,9,80.0
mazie,2,5,2,9,40.0
A Boogie Wit Da Hoodie,2,7,0,9,28.57142857142857
Lil Darkie,4,5,0,9,80.0
LAROI WRLD,4,5,0,9,80.0
Los Del Limit,4,5,0,9,80.0
Redfoo,3,4,1,8,75.0
Behnam Bani,3,5,0,8,60.0
amine abouabdellah,3,5,0,8,60.0
